Name,ahk_class,RegEx Pattern,VarName,2MX,2MY,2MW,2MH,2MState,1MX,1MY,1MW,1MH,1MState,LX,LY,LW,LH,LState
Mail Client,,(Inbox -).*(- Mail),winMail,2000,350,770,620,0,2,400,770,620,-1,,,,,
Edge,,.*(- Microsoft Edge),winEdge,200,200,1366,768,0,110,235,1230,760,-1,,,,,
Internet Explorer,IEFrame,.*(- Internet Explorer),winIE,200,200,1366,768,0,110,235,1230,760,-1,,,,,
Calendar Client,,.*(View)(.{2}|.{3}|.{4})(Calendar),winCal,1920,440,1000,600,0,2,560,1190,600,-1,,,,,
PowerPoint,PPTFrameClass,,winPPT,10,50,1370,730,0,370,290,1280,780,-1,,,,,
Visual Studio,,.*(- Microsoft Visual Studio),winVS,0,0,1920,1040,1,0,0,1930,1170,1,,,,,
FoxIt Reader,classFoxitReader,,winFoxit,150,55,1200,790,0,180,60,1500,1040,0,,,,,
Word,OpusApp,,winWord,50,10,1370,730,0,270,190,1280,780,0,,,,,
MySQL Workbench,,(MySQL Workbench),winMySqlWB,55,55,1800,980,0,55,55,1900,1100,-1,,,,,
Postman,,(Postman),winPostman,2120,90,1460,820,0,150,90,1460,820,-1,,,,,
Excel,XLMAIN,,winExcel,40,40,1370,730,0,390,50,1280,780,0,,,,,
Excel VBA Editor,wndclass_desked_gsk,,winVBA,70,70,1370,760,0,450,30,1280,780,0,,,,,
PowerGUI,,(PowerGUI Script Editor),winPowGui,30,30,1650,900,0,220,130,1550,860,0,,,,,
Slack,Chrome_WidgetWin_1,Slack - WhiteSource,winSlack,230,485,760,550,0,580,605,760,550,-1,,,,,
WhatsApp,Chrome_WidgetWin_1,^WhatsApp$,winWhatsApp,400,420,1130,615,0,400,545,1130,610,0,,,,,
Iron,Chrome_WidgetWin_1, - Iron$,winIron,2430,20,1370,790,0,380,200,1400,820,0,,,,,
Chrome,Chrome_WidgetWin_1, - Google Chrome$,winChrome,200,100,1420,820,0,345,190,1420,820,0,,,,,
Clean Google Calendar,Chrome_WidgetWin_1,Clean Google Calendar,winGCal,1920,440,1000,600,0,2,560,1190,600,-1,,,,,
Google Hangouts,Chrome_WidgetWin_1,Google Hangouts - tidhar,winHangouts,0,570,530,470,0,2,710,530,440,0,,,,,
Notepad++,Notepad++,,winNPP,500,280,1190,690,0,425,210,1190,700,0,,,,,
